benchmark,model,seed,final_regret_vm,final_regret_slurm,auc_vm,auc_slurm,final_equal,auc_equal
Park-Fav,DNGOJoint,53,0.0,0.0,0.1551917276016539,0.1551917276016539,True,True
Park-Fav,DNGOJoint,54,0.0,0.0,0.2472837412716081,0.2472837412716081,True,True
Park-Fav,DNGOJoint,55,0.0,0.0,0.0830510747267107,0.0830510747267107,True,True
Park-Fav,DNGOJoint,56,0.0,0.0,2.5978679475808682e-08,2.5978679475808682e-08,True,True
Matbench-Gap,Progressive,57,0.1,0.1,0.3401179941002934,0.3401179941002934,True,True
Matbench-Gap,Progressive,58,0.01,0.01,0.2970206489675496,0.2970206489675496,True,True
Matbench-Gap,Progressive,59,0.2000000000000001,0.2000000000000001,0.7404129793510311,0.7404129793510311,True,True
Matbench-Gap,Progressive,60,0.08,0.08,0.382654867256636,0.382654867256636,True,True
Matbench-Gap,Progressive,61,0.02,0.02,0.1170501474926246,0.1170501474926246,True,True
HOPV15,Sequential,52,0.0,0.0,2.850378787878785,2.850378787878785,True,True
HOPV15,Sequential,53,0.0,0.0,3.723295454545445,3.723295454545445,True,True
HOPV15,Sequential,54,3.9,3.9,4.5206439393939375,4.5206439393939375,True,True
HOPV15,Sequential,55,4.299999999999999,4.299999999999999,5.078219696969693,5.078219696969693,True,True
HOPV15,Sequential,56,0.0,0.0,0.3488636363636349,0.3488636363636349,True,True
Branin-Unfav,Curriculum,42,0.2639537746364127,0.2639537746364127,1.4703268744153168,1.4703268744153168,True,True
Branin-Unfav,Curriculum,43,0.1464807059646879,0.1464807059646879,1.0380074617887247,1.0380074617887247,True,True
Branin-Unfav,Curriculum,44,3.180609312939413,3.180609312939413,5.724338252689704,5.724338252689704,True,True
Branin-Unfav,Curriculum,45,0.5121657420372774,0.5121657420372774,8.458833784639973,8.458833784639973,True,True
Branin-Unfav,Curriculum,46,0.0457697300888585,0.0457697300888585,1.638243705285491,1.638243705285491,True,True
FreeSolv,Adapter,57,0.0,0.0,0.2190528634361217,0.2190528634361217,True,True
FreeSolv,Adapter,58,0.0,0.0,0.029735682819383,0.029735682819383,True,True
FreeSolv,Adapter,59,0.0,0.0,0.4420704845814945,0.4420704845814945,True,True
FreeSolv,Adapter,60,0.0,0.0,0.0165198237885461,0.0165198237885461,True,True
FreeSolv,Adapter,61,0.0,0.0,0.3026431718061652,0.3026431718061652,True,True
FreeSolv,TwoStageJoint,47,0.0,0.0,0.3327092511013191,0.3327092511013191,True,True
FreeSolv,TwoStageJoint,48,0.0,0.0,0.3564977973568256,0.3564977973568256,True,True
FreeSolv,TwoStageJoint,49,0.0,0.0,0.2174008810572671,0.2174008810572671,True,True
FreeSolv,TwoStageJoint,50,0.0,0.0,0.5081497797356791,0.5081497797356791,True,True
FreeSolv,TwoStageJoint,51,0.0,0.0,0.2530837004405268,0.2530837004405268,True,True
Branin-Fav,PseudoLabeling,52,0.1534502254535983,0.1534502254535983,2.658253564158563,2.658253564158563,True,True
Matbench-Gap,Adapter,52,0.1,0.1,0.3684365781710897,0.3684365781710897,True,True
Matbench-Gap,Adapter,53,0.1,0.1,0.5277286135693189,0.5277286135693189,True,True
Matbench-Gap,Adapter,54,0.01,0.01,0.3111799410029482,0.3111799410029482,True,True
Matbench-Gap,Adapter,55,0.0,0.0,0.1238938053097336,0.1238938053097336,True,True
Matbench-Gap,Adapter,56,0.24,0.24,0.3426548672566365,0.3426548672566365,True,True
HOPV15,Sequential,47,0.0,0.0,2.435227272727262,2.435227272727262,True,True
HOPV15,Sequential,48,0.0,0.0,3.62102272727272,3.62102272727272,True,True
HOPV15,Sequential,49,0.0,0.0,2.8941287878787803,2.8941287878787803,True,True
