benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
Branin-Unfav,Stop-Gradient Joint,0.2516313460698286,0.17374024494069024,0.3469780219780219,40,0.0486143332547071
COFs,Adapter,0.14635889623397785,0.28376472427934984,0.9254857574042632,40,0.0058148537319476
COFs,DKL,0.13679640558157125,0.05828034258206667,0.91943147519336,40,0.0069761505943375
COFs,Domain Adaptation (MMD),0.1700110910216071,0.260142698125343,0.9338686096962836,40,0.0064306769909743
COFs,End-to-End Joint,0.1743441613980528,0.14673437078259205,0.9198971892095832,40,0.0060840624309838
COFs,Feature-extraction transfer,0.1501436765822922,0.28640957056217264,0.9189657611771364,40,0.0066550700465181
COFs,MFGP,0.28347617866030556,0.29245226395469426,0.9022000565930958,40,0.0075094128715759
COFs,Pretrain-then-Joint,0.19755636975052238,0.22796561918589026,0.9124457649500094,40,0.0068413194295274
COFs,Progressive,0.20304289450898172,0.24630750769295942,0.9045286266742124,40,0.0069377802760091
COFs,Sequential,0.14948812919826254,0.28496668165099154,0.9189657611771364,40,0.0066550700465181
COFs,Soft Parameter Sharing,0.18131348928646016,0.16967722596839602,0.8998714865119789,40,0.0079675530379866
COFs,Sparse MFGP,0.23053557772255218,0.24844025282349821,0.9231571873231468,40,0.0063343954571666
COFs,Stop-Gradient Joint,0.1399371795328102,0.24233972424139377,0.9231571873231468,40,0.00593554107655
Elastic-CHGNet,Adapter,0.140897237901281,0.14340385870474956,0.5541666666666666,40,0.0449734439714923
Elastic-CHGNet,DKL,0.3939274867021734,0.36655043420166045,0.6043981481481482,40,0.042018650855476
Elastic-CHGNet,Domain Adaptation (MMD),0.14739894560249955,0.1625452169169443,0.5532407407407407,40,0.0446018870676108
Elastic-CHGNet,End-to-End Joint,0.16952339727663063,0.17860024862498045,0.507175925925926,40,0.0436172722998498
Elastic-CHGNet,Feature-extraction transfer,0.1400937217559581,0.1305869698094954,0.525,40,0.0418393593369869
Elastic-CHGNet,MFGP,0.09043106382488947,0.10285871692447753,0.492824074074074,40,0.0443519627536595
Elastic-CHGNet,Pretrain-then-Joint,0.16782575651947423,0.16821346710887503,0.3814814814814815,40,0.0390496608899073
Elastic-CHGNet,Progressive,0.17521813109174217,0.1868140894642994,0.3606481481481481,40,0.0359343660844721
Elastic-CHGNet,Sequential,0.13417831301022606,0.1260684456383032,0.493287037037037,40,0.0418929010371767
Elastic-CHGNet,Soft Parameter Sharing,0.1832006944584538,0.1847644356063013,0.3337962962962962,40,0.0309180738221969
Elastic-CHGNet,Sparse MFGP,0.2799031821947937,0.27277978219768023,0.5736111111111111,40,0.049011039719134
Elastic-CHGNet,Stop-Gradient Joint,0.1068465079401025,0.10183435214688448,0.6219907407407408,40,0.0414893974935224
Elastic-MatterSim,Adapter,0.09952702666260535,0.05522386291923863,0.8805555555555555,40,0.0100110294070395
Elastic-MatterSim,DKL,0.4449316628271711,0.42558240733415714,0.8365740740740742,40,0.0138910650400268
Elastic-MatterSim,Domain Adaptation (MMD),0.10655485557895987,0.06642867383037007,0.8699074074074072,40,0.0089572665808218
Elastic-MatterSim,End-to-End Joint,0.12431720342415956,0.08818399883756226,0.8796296296296295,40,0.0080665865244375
Elastic-MatterSim,Feature-extraction transfer,0.10106539892046909,0.06015957458252667,0.8777777777777779,40,0.0093959520775922
Elastic-MatterSim,MFGP,0.09532700479306948,0.11936567501372093,0.7574074074074074,40,0.0245228102962326
Elastic-MatterSim,Pretrain-then-Joint,0.10884478015466761,0.059241087309004556,0.8537037037037039,40,0.0139212980530391
Elastic-MatterSim,Progressive,0.10180955936658131,0.06510630754386362,0.8578703703703704,40,0.0119607763960102
Elastic-MatterSim,Sequential,0.0999535397892698,0.058792694718992664,0.8796296296296295,40,0.0089452942877712
Elastic-MatterSim,Soft Parameter Sharing,0.1250445633722457,0.08043521348127472,0.861574074074074,40,0.0104417630572321
Elastic-MatterSim,Sparse MFGP,0.35835133183597434,0.37105010819168033,0.8634259259259259,40,0.009083989291828
Elastic-MatterSim,Stop-Gradient Joint,0.0841453825328588,0.05639815924071011,0.8722222222222223,40,0.0106669700283969
Elastic-SevenNet,Adapter,0.10171293784913386,0.09880747892294918,0.7310185185185185,40,0.0305353144561048
Elastic-SevenNet,DKL,0.42819511437846536,0.4012174423966527,0.6784722222222223,40,0.0397965730147341
Elastic-SevenNet,Domain Adaptation (MMD),0.10277195962602548,0.10314194277902752,0.7543981481481482,40,0.0316767231814274
Elastic-SevenNet,End-to-End Joint,0.13565997160026844,0.11814952185332353,0.7266203703703704,40,0.0320475672506942
Elastic-SevenNet,Feature-extraction transfer,0.10895929908378892,0.08606182440649598,0.7298611111111111,40,0.0307450588149648
Elastic-SevenNet,MFGP,0.07264700776681017,0.08365720625974606,0.5680555555555555,40,0.0394129741505483
Elastic-SevenNet,Pretrain-then-Joint,0.1392805736558475,0.12428696812435322,0.7025462962962964,40,0.0364329104973348
